Port,Volume_Conteneurs_Vides,Bateau_Entreprise,Pourcentage_Conteneurs_Vides,Presence_Moyenne_Jours,Type_Conteneur,Risque_Vide
Shenzen,91355,Hapag-Lloyd,10.1,5,Entreprises Grande Taille,Basse
Ningbo Zhoushan,131663,ZIM,10.4,5,Entreprises Grande Taille,Moyenne
Tianjin,79616,ONE,12.0,7,Petites Entreprises,Haute
Ningbo Zhoushan,137530,COSCO,12.5,5,Particuliers,Basse
Hong Kong,76934,Yang Ming,14.3,5,Alimentaires,Basse
Busan,83106,MSC,13.5,4,Petites Entreprises,Haute
Busan,82132,Yang Ming,11.8,3,Alimentaires,Basse
Singapour,135399,Evergreen,9.7,7,Alimentaires,Haute
Shenzen,92027,ONE,11.0,4,Entreprises Grande Taille,Moyenne
Qingdao,96541,CMA CGM,15.0,5,Alimentaires,Haute
Guangzou,88744,Hapag-Lloyd,10.4,5,Particuliers,Moyenne
Qingdao,71416,CMA CGM,13.0,3,Particuliers,Basse
Guangzou,102021,Hapag-Lloyd,12.0,5,Entreprises Grande Taille,Moyenne
Busan,84254,ONE,9.5,6,Petites Entreprises,Haute
Shangai,137965,MSC,13.3,7,Entreprises Grande Taille,Basse
Hong Kong,76541,COSCO,10.5,4,Entreprises Grande Taille,Basse
Qingdao,86695,Evergreen,12.1,3,Particuliers,Haute
Busan,72529,ONE,12.4,4,Particuliers,Moyenne
Qingdao,96682,Maersk,14.8,4,Alimentaires,Moyenne
Qingdao,91284,Yang Ming,11.5,7,Entreprises Grande Taille,Moyenne
Guangzou,96120,ONE,9.9,5,Alimentaires,Moyenne
Guangzou,104418,Hapag-Lloyd,11.2,3,Industriels,Basse
Shangai,146500,COSCO,11.4,4,Particuliers,Haute
Singapour,106201,Hapag-Lloyd,9.8,4,Alimentaires,Haute
Shangai,126668,Hapag-Lloyd,13.1,7,Entreprises Grande Taille,Haute
Tianjin,98207,Maersk,10.0,7,Industriels,Moyenne
Shangai,129863,ZIM,14.0,5,Particuliers,Moyenne
Qingdao,75023,Evergreen,10.0,7,Industriels,Haute
Busan,100310,ONE,15.0,3,Industriels,Haute
Busan,88900,ONE,12.5,3,Alimentaires,Haute
Guangzou,79872,MSC,11.3,4,Industriels,Basse
Ningbo Zhoushan,102679,Maersk,11.7,7,Industriels,Basse
Hong Kong,62916,Maersk,10.5,3,Petites Entreprises,Haute
Hong Kong,69439,Maersk,12.6,4,Petites Entreprises,Haute
Rotterdam,86664,Maersk,11.6,4,Entreprises Grande Taille,Moyenne
Hong Kong,63122,COSCO,13.3,3,Alimentaires,Basse
Shangai,110420,CMA CGM,9.9,4,Industriels,Basse
Qingdao,73402,Maersk,10.9,6,Alimentaires,Basse
Tianjin,98341,COSCO,12.4,7,Entreprises Grande Taille,Basse
Shenzen,83800,Evergreen,13.4,6,Particuliers,Haute
Ningbo Zhoushan,131578,COSCO,11.6,4,Industriels,Moyenne
Busan,73616,Maersk,14.5,7,Industriels,Moyenne
Rotterdam,110925,Evergreen,11.8,6,Alimentaires,Moyenne
Shenzen,103581,Maersk,12.8,4,Industriels,Haute
Hong Kong,68336,Evergreen,13.8,3,Petites Entreprises,Moyenne
Shangai,146420,Yang Ming,14.8,6,Particuliers,Moyenne
Singapour,105243,Hapag-Lloyd,9.6,4,Alimentaires,Haute
Qingdao,72097,MSC,14.6,7,Industriels,Moyenne
Guangzou,98860,COSCO,10.3,5,Industriels,Moyenne
Guangzou,82835,MSC,10.4,7,Particuliers,Moyenne
Shenzen,90285,Maersk,12.5,6,Particuliers,Haute
Guangzou,84693,MSC,13.1,7,Particuliers,Haute
Shenzen,116386,MSC,11.5,4,Entreprises Grande Taille,Haute
Hong Kong,84642,Hapag-Lloyd,13.2,5,Alimentaires,Haute
Guangzou,78951,Yang Ming,11.7,7,Particuliers,Basse
Busan,84493,Evergreen,9.2,6,Alimentaires,Moyenne
Hong Kong,90648,Yang Ming,10.2,6,Petites Entreprises,Haute
Shangai,143190,Hapag-Lloyd,11.5,6,Entreprises Grande Taille,Basse
Qingdao,93573,Maersk,12.6,5,Entreprises Grande Taille,Moyenne
Qingdao,73061,Maersk,13.0,6,Entreprises Grande Taille,Basse
Tianjin,75857,COSCO,11.5,4,Petites Entreprises,Moyenne
Singapour,117792,Evergreen,11.6,3,Entreprises Grande Taille,Moyenne
Shenzen,100562,Yang Ming,14.1,7,Industriels,Moyenne
Singapour,119720,Yang Ming,11.3,3,Entreprises Grande Taille,Haute
Hong Kong,74318,Evergreen,13.2,4,Entreprises Grande Taille,Basse
Guangzou,84798,Maersk,12.8,3,Alimentaires,Haute
Shenzen,106574,MSC,12.5,6,Industriels,Haute
Guangzou,94148,Maersk,12.4,3,Petites Entreprises,Haute
Ningbo Zhoushan,134266,COSCO,9.9,3,Entreprises Grande Taille,Basse
Shenzen,108924,Hapag-Lloyd,11.0,3,Entreprises Grande Taille,Haute
Qingdao,78628,Hapag-Lloyd,11.7,5,Industriels,Moyenne
Shenzen,87971,CMA CGM,12.8,3,Alimentaires,Haute
Ningbo Zhoushan,113884,MSC,11.9,3,Industriels,Moyenne
Singapour,124090,Maersk,13.0,6,Industriels,Basse
Tianjin,68517,COSCO,9.6,3,Industriels,Moyenne
Ningbo Zhoushan,102032,COSCO,12.2,6,Industriels,Moyenne
Guangzou,73852,COSCO,10.7,3,Petites Entreprises,Moyenne
Singapour,126057,MSC,12.3,6,Particuliers,Haute
Shangai,114813,CMA CGM,10.1,4,Industriels,Basse
Tianjin,95937,Yang Ming,14.9,7,Particuliers,Basse
Rotterdam,86836,Evergreen,10.9,5,Industriels,Basse
Singapour,106928,Evergreen,9.2,7,Petites Entreprises,Moyenne
Ningbo Zhoushan,115278,MSC,12.5,7,Entreprises Grande Taille,Moyenne
Shangai,148914,Hapag-Lloyd,11.7,4,Industriels,Basse
Ningbo Zhoushan,122130,MSC,11.6,3,Alimentaires,Moyenne
Shenzen,80820,Evergreen,12.4,6,Alimentaires,Moyenne
Shenzen,90912,Yang Ming,9.1,7,Alimentaires,Moyenne
Shangai,127762,COSCO,10.5,4,Industriels,Moyenne
Shangai,126860,ONE,14.8,4,Entreprises Grande Taille,Moyenne
Guangzou,91809,Hapag-Lloyd,14.6,4,Particuliers,Haute
Singapour,97260,COSCO,13.4,4,Petites Entreprises,Haute
Shangai,154931,MSC,9.3,7,Industriels,Basse
Qingdao,86019,Maersk,9.6,3,Petites Entreprises,Haute
Tianjin,70088,Yang Ming,10.1,3,Entreprises Grande Taille,Moyenne
Qingdao,78736,CMA CGM,10.2,7,Alimentaires,Haute
Guangzou,95430,Maersk,11.0,7,Alimentaires,Haute
Ningbo Zhoushan,119408,CMA CGM,9.9,5,Industriels,Haute
Guangzou,92335,COSCO,14.2,5,Alimentaires,Basse
Rotterdam,109459,Evergreen,13.2,6,Alimentaires,Haute
Hong Kong,68444,Hapag-Lloyd,10.0,4,Particuliers,Haute
Guangzou,89823,Maersk,10.9,4,Alimentaires,Haute
Shangai,148410,ONE,12.5,4,Industriels,Moyenne
Busan,83696,CMA CGM,9.7,4,Entreprises Grande Taille,Moyenne
Guangzou,104066,Maersk,14.6,7,Industriels,Haute
Rotterdam,107292,Maersk,10.5,6,Petites Entreprises,Haute
Busan,87534,COSCO,11.0,6,Particuliers,Haute
Shenzen,107601,ONE,12.4,7,Entreprises Grande Taille,Moyenne
Hong Kong,71620,Hapag-Lloyd,13.1,6,Petites Entreprises,Haute
Guangzou,77107,CMA CGM,12.9,5,Particuliers,Haute
Hong Kong,91760,CMA CGM,10.5,3,Particuliers,Moyenne
Busan,85208,Evergreen,9.6,5,Industriels,Moyenne
Rotterdam,101531,Hapag-Lloyd,10.0,3,Petites Entreprises,Moyenne
Busan,93299,CMA CGM,14.0,4,Alimentaires,Basse
Shenzen,102735,ZIM,14.1,3,Alimentaires,Haute
Tianjin,77635,Evergreen,11.7,7,Particuliers,Haute
Singapour,110497,MSC,11.6,4,Entreprises Grande Taille,Moyenne
Qingdao,93507,MSC,11.1,3,Petites Entreprises,Moyenne
Shenzen,108793,Hapag-Lloyd,11.6,7,Particuliers,Basse
Qingdao,99463,ONE,10.8,4,Entreprises Grande Taille,Basse
Shangai,152931,ZIM,13.4,5,Particuliers,Haute
Busan,72951,ONE,13.8,6,Entreprises Grande Taille,Basse
Qingdao,77847,Maersk,9.4,6,Entreprises Grande Taille,Moyenne
Ningbo Zhoushan,139655,COSCO,12.6,7,Particuliers,Moyenne
Shangai,104244,Hapag-Lloyd,9.5,6,Petites Entreprises,Haute
Shenzen,81636,Yang Ming,10.9,5,Petites Entreprises,Moyenne
Tianjin,69454,Yang Ming,10.4,5,Entreprises Grande Taille,Moyenne
Hong Kong,74697,Evergreen,13.3,7,Entreprises Grande Taille,Basse
Busan,76762,CMA CGM,15.0,7,Entreprises Grande Taille,Moyenne
Rotterdam,87966,COSCO,9.6,6,Industriels,Moyenne
Shangai,138165,COSCO,11.3,6,Particuliers,Haute
Shenzen,83774,COSCO,14.2,6,Industriels,Basse
Hong Kong,85908,ONE,10.7,3,Petites Entreprises,Moyenne
Shangai,147193,Evergreen,11.9,7,Industriels,Basse
Guangzou,106327,Maersk,9.1,3,Petites Entreprises,Haute
Singapour,133141,Yang Ming,11.2,5,Particuliers,Haute
Hong Kong,87945,Maersk,11.2,5,Entreprises Grande Taille,Haute
Singapour,100594,Maersk,10.5,7,Alimentaires,Haute
Qingdao,83315,Evergreen,12.7,5,Particuliers,Basse
Qingdao,71614,ZIM,12.4,7,Entreprises Grande Taille,Basse
Rotterdam,120025,COSCO,10.7,4,Entreprises Grande Taille,Moyenne
Singapour,108408,MSC,11.8,7,Industriels,Moyenne
Ningbo Zhoushan,124431,Evergreen,12.8,4,Alimentaires,Haute
Guangzou,108824,Hapag-Lloyd,11.8,6,Particuliers,Moyenne
Hong Kong,82274,Hapag-Lloyd,11.5,7,Particuliers,Haute
Shangai,143569,COSCO,11.3,3,Entreprises Grande Taille,Moyenne
Hong Kong,78077,Hapag-Lloyd,13.3,3,Entreprises Grande Taille,Moyenne
Shenzen,99864,Hapag-Lloyd,11.4,6,Entreprises Grande Taille,Haute
Ningbo Zhoushan,125840,Evergreen,11.5,6,Entreprises Grande Taille,Haute
Qingdao,80511,Yang Ming,11.7,7,Alimentaires,Haute
Ningbo Zhoushan,110979,Evergreen,10.8,4,Particuliers,Moyenne
Hong Kong,84758,Evergreen,12.5,5,Petites Entreprises,Haute
Shenzen,85317,Evergreen,9.5,3,Alimentaires,Haute
Singapour,121989,COSCO,11.7,3,Entreprises Grande Taille,Moyenne
Rotterdam,121257,COSCO,14.1,5,Entreprises Grande Taille,Basse
Hong Kong,76667,Yang Ming,12.4,7,Particuliers,Moyenne
Tianjin,94018,ONE,10.0,3,Alimentaires,Haute
Busan,76969,ONE,12.3,5,Industriels,Moyenne
Singapour,137933,CMA CGM,12.0,6,Entreprises Grande Taille,Basse
Busan,75154,MSC,12.7,5,Industriels,Moyenne
Qingdao,73085,ONE,10.7,7,Entreprises Grande Taille,Haute
Shenzen,84721,Hapag-Lloyd,14.1,7,Particuliers,Haute
Shenzen,86492,Maersk,10.3,4,Petites Entreprises,Moyenne
Rotterdam,105737,Yang Ming,11.3,4,Industriels,Moyenne
Hong Kong,80077,ZIM,14.0,4,Particuliers,Haute
Guangzou,84626,Hapag-Lloyd,10.5,6,Alimentaires,Basse
Ningbo Zhoushan,136328,CMA CGM,11.0,3,Petites Entreprises,Moyenne
Singapour,129961,Maersk,14.2,6,Particuliers,Moyenne
Shenzen,105261,Evergreen,11.5,3,Petites Entreprises,Moyenne
Guangzou,103207,MSC,10.6,5,Industriels,Basse
Shenzen,82671,MSC,13.3,3,Petites Entreprises,Basse
Shangai,145276,ZIM,11.0,7,Alimentaires,Basse
Qingdao,85290,ZIM,14.3,4,Alimentaires,Haute
Ningbo Zhoushan,122329,Evergreen,12.2,3,Petites Entreprises,Moyenne
Qingdao,86270,Evergreen,11.5,7,Petites Entreprises,Basse
Shenzen,101392,Maersk,13.4,4,Petites Entreprises,Haute
Singapour,99581,MSC,12.7,3,Petites Entreprises,Basse
Qingdao,94068,Yang Ming,13.1,3,Entreprises Grande Taille,Basse
Qingdao,96367,ONE,10.4,7,Alimentaires,Haute
Busan,75251,Evergreen,13.9,6,Petites Entreprises,Haute
Rotterdam,116444,ZIM,14.7,7,Industriels,Basse
Shenzen,86358,Maersk,12.4,5,Alimentaires,Basse
Hong Kong,72791,MSC,9.8,3,Entreprises Grande Taille,Basse
Tianjin,94435,MSC,13.8,6,Industriels,Haute
Busan,102738,Hapag-Lloyd,14.2,5,Particuliers,Basse
Singapour,110496,CMA CGM,14.5,3,Entreprises Grande Taille,Moyenne
Rotterdam,91283,Hapag-Lloyd,14.9,3,Entreprises Grande Taille,Moyenne
Busan,75606,MSC,12.8,5,Entreprises Grande Taille,Basse
Shenzen,89149,Yang Ming,13.6,3,Petites Entreprises,Haute
Hong Kong,87490,Yang Ming,10.1,3,Particuliers,Haute
Ningbo Zhoushan,136034,Maersk,13.2,3,Petites Entreprises,Moyenne
Shangai,124281,Yang Ming,10.8,4,Particuliers,Basse
Shenzen,109775,COSCO,13.6,4,Alimentaires,Haute
Qingdao,80130,Maersk,10.1,6,Petites Entreprises,Basse
Qingdao,82477,Yang Ming,12.5,3,Particuliers,Haute
Tianjin,86946,Maersk,14.7,6,Petites Entreprises,Basse
Qingdao,83212,Yang Ming,14.7,5,Alimentaires,Haute
Hong Kong,84267,ZIM,9.4,4,Particuliers,Basse
Busan,82545,Yang Ming,11.2,3,Particuliers,Haute
Singapour,135397,ZIM,12.9,7,Alimentaires,Haute
Busan,103899,Hapag-Lloyd,13.5,3,Alimentaires,Moyenne
Tianjin,79092,Hapag-Lloyd,10.7,5,Industriels,Haute
Shenzen,87436,COSCO,14.1,7,Industriels,Haute
Hong Kong,89760,Yang Ming,12.6,6,Industriels,Haute
Hong Kong,79138,Hapag-Lloyd,12.1,7,Industriels,Moyenne
Rotterdam,102916,Yang Ming,13.2,7,Particuliers,Haute
Singapour,108862,Evergreen,10.9,7,Particuliers,Basse
Guangzou,100759,Maersk,11.0,7,Alimentaires,Haute
Ningbo Zhoushan,117612,CMA CGM,10.7,3,Entreprises Grande Taille,Haute
Shangai,151619,Evergreen,12.9,6,Entreprises Grande Taille,Basse
Singapour,124534,Evergreen,10.0,6,Industriels,Basse
Guangzou,90966,Yang Ming,11.9,6,Petites Entreprises,Haute
Rotterdam,96696,Yang Ming,14.3,6,Alimentaires,Basse
Qingdao,78433,Hapag-Lloyd,11.6,4,Entreprises Grande Taille,Basse
Busan,99204,Maersk,11.4,7,Petites Entreprises,Haute
Tianjin,89712,Evergreen,13.7,5,Alimentaires,Moyenne
Rotterdam,94612,CMA CGM,9.0,7,Entreprises Grande Taille,Moyenne
Rotterdam,121433,CMA CGM,9.1,5,Alimentaires,Haute
Rotterdam,106791,Yang Ming,10.5,3,Petites Entreprises,Haute
Guangzou,105597,COSCO,13.6,7,Particuliers,Basse
Tianjin,80182,COSCO,14.2,7,Entreprises Grande Taille,Basse
Qingdao,94781,COSCO,11.3,3,Industriels,Basse
Rotterdam,85187,COSCO,10.0,6,Alimentaires,Haute
Ningbo Zhoushan,102899,Maersk,11.0,3,Alimentaires,Basse
Rotterdam,94285,Maersk,11.1,4,Entreprises Grande Taille,Haute
Shangai,117803,MSC,13.0,7,Particuliers,Basse
Qingdao,74622,Evergreen,14.3,6,Petites Entreprises,Haute
Shangai,107289,CMA CGM,10.4,5,Petites Entreprises,Moyenne
Busan,87771,Maersk,11.0,4,Petites Entreprises,Moyenne
Rotterdam,112551,Yang Ming,13.2,7,Particuliers,Haute
Qingdao,81424,CMA CGM,11.7,4,Particuliers,Haute
Tianjin,82956,MSC,11.2,3,Alimentaires,Haute
Singapour,100342,MSC,14.9,5,Industriels,Moyenne
Singapour,102550,CMA CGM,11.4,3,Particuliers,Haute
Rotterdam,114599,ONE,12.9,7,Industriels,Moyenne
Hong Kong,89117,ZIM,10.6,6,Petites Entreprises,Moyenne
Busan,106779,Evergreen,12.8,7,Entreprises Grande Taille,Haute
Qingdao,99598,Yang Ming,10.7,6,Industriels,Haute
Qingdao,89661,Evergreen,14.5,5,Entreprises Grande Taille,Moyenne
Singapour,93085,Yang Ming,13.1,7,Petites Entreprises,Haute
Rotterdam,110680,ONE,10.9,4,Entreprises Grande Taille,Moyenne
Guangzou,81721,ONE,14.6,7,Entreprises Grande Taille,Moyenne
Shenzen,107544,Hapag-Lloyd,9.3,6,Industriels,Haute
Ningbo Zhoushan,114461,Maersk,9.6,3,Particuliers,Moyenne
Busan,75605,Evergreen,10.1,3,Alimentaires,Basse
Singapour,135614,ONE,10.4,5,Industriels,Haute
Shenzen,98714,COSCO,13.6,5,Entreprises Grande Taille,Haute
Shangai,123151,CMA CGM,9.1,4,Alimentaires,Haute
Shenzen,89028,Maersk,12.2,3,Industriels,Moyenne
Ningbo Zhoushan,114819,ONE,14.9,6,Entreprises Grande Taille,Basse
Guangzou,84557,CMA CGM,14.3,5,Alimentaires,Haute
Ningbo Zhoushan,112934,Yang Ming,10.2,5,Alimentaires,Haute
Hong Kong,90954,CMA CGM,13.0,5,Alimentaires,Haute
Busan,91585,ONE,13.8,4,Alimentaires,Moyenne
Qingdao,97074,COSCO,11.0,4,Particuliers,Moyenne
Shenzen,86490,Evergreen,14.4,4,Particuliers,Moyenne
Ningbo Zhoushan,137933,Hapag-Lloyd,9.1,6,Industriels,Basse
Busan,79584,Maersk,13.8,3,Petites Entreprises,Haute
Shangai,134672,ONE,11.8,6,Entreprises Grande Taille,Moyenne
Qingdao,95598,Hapag-Lloyd,10.5,4,Petites Entreprises,Haute
Shangai,152356,COSCO,11.9,4,Industriels,Moyenne
Guangzou,94765,Yang Ming,12.6,6,Alimentaires,Moyenne
Shenzen,88697,Maersk,11.1,4,Petites Entreprises,Haute
Qingdao,93873,Yang Ming,13.4,3,Particuliers,Haute
Tianjin,65887,ZIM,9.9,6,Industriels,Moyenne
Shangai,108004,Maersk,12.0,5,Industriels,Moyenne
Qingdao,74940,MSC,10.9,4,Entreprises Grande Taille,Basse
Busan,72091,Evergreen,9.7,3,Industriels,Basse
Hong Kong,72372,ZIM,12.6,4,Industriels,Moyenne
Ningbo Zhoushan,104255,Hapag-Lloyd,10.7,3,Petites Entreprises,Haute
Hong Kong,79536,ONE,14.1,3,Particuliers,Basse
Rotterdam,93360,ZIM,9.9,4,Petites Entreprises,Haute
Qingdao,80476,ONE,14.1,3,Entreprises Grande Taille,Moyenne
Shenzen,107407,MSC,13.0,4,Petites Entreprises,Basse
Singapour,94669,CMA CGM,9.6,7,Petites Entreprises,Haute
Ningbo Zhoushan,130413,Maersk,11.6,7,Alimentaires,Haute
Shenzen,87360,Yang Ming,9.2,7,Petites Entreprises,Haute
Qingdao,81673,Yang Ming,14.3,5,Industriels,Basse
Ningbo Zhoushan,125574,ZIM,10.1,7,Entreprises Grande Taille,Basse
Guangzou,85465,MSC,12.8,4,Industriels,Basse
Ningbo Zhoushan,144239,COSCO,14.9,4,Industriels,Basse
Rotterdam,114798,Evergreen,14.7,7,Petites Entreprises,Haute
Rotterdam,114623,ZIM,13.9,3,Particuliers,Moyenne
Hong Kong,66567,ONE,11.8,6,Alimentaires,Haute
Shenzen,116742,Evergreen,13.0,6,Particuliers,Haute
Rotterdam,94983,ONE,10.4,3,Petites Entreprises,Haute
Guangzou,88948,Yang Ming,14.3,3,Entreprises Grande Taille,Basse
Ningbo Zhoushan,123494,ZIM,13.0,7,Alimentaires,Basse
Hong Kong,89893,MSC,11.4,4,Industriels,Basse
Hong Kong,83846,ONE,10.0,3,Industriels,Moyenne
Shenzen,103237,MSC,13.1,5,Alimentaires,Moyenne
Hong Kong,78684,Hapag-Lloyd,9.4,7,Petites Entreprises,Haute
Ningbo Zhoushan,108757,Hapag-Lloyd,9.8,5,Alimentaires,Haute
Tianjin,93360,CMA CGM,13.5,4,Petites Entreprises,Basse
Busan,92106,ONE,9.6,6,Particuliers,Moyenne
Qingdao,84067,Evergreen,12.6,6,Entreprises Grande Taille,Basse
Shenzen,92387,Hapag-Lloyd,14.8,6,Petites Entreprises,Haute
Tianjin,90324,ZIM,14.9,4,Entreprises Grande Taille,Moyenne
Shangai,128448,Maersk,11.9,4,Petites Entreprises,Haute
Singapour,106736,ONE,14.4,7,Entreprises Grande Taille,Basse
Shangai,106261,CMA CGM,14.2,7,Industriels,Haute
Shenzen,95161,Hapag-Lloyd,13.8,3,Particuliers,Haute
Guangzou,108839,Yang Ming,10.4,4,Entreprises Grande Taille,Basse
Qingdao,100173,Evergreen,10.3,5,Alimentaires,Haute
Shenzen,84092,CMA CGM,13.2,6,Particuliers,Haute
Rotterdam,107820,CMA CGM,9.1,5,Petites Entreprises,Moyenne
Tianjin,92461,ONE,14.1,3,Particuliers,Basse
Shenzen,94626,COSCO,10.0,7,Industriels,Haute
Rotterdam,82799,Evergreen,13.8,6,Industriels,Moyenne
Shenzen,83410,ONE,14.4,7,Petites Entreprises,Haute
Ningbo Zhoushan,125544,Yang Ming,12.0,6,Particuliers,Basse
Ningbo Zhoushan,112751,ONE,14.8,5,Industriels,Basse
Rotterdam,119877,COSCO,14.6,5,Alimentaires,Haute
Shenzen,83276,Evergreen,10.4,5,Entreprises Grande Taille,Moyenne
Shenzen,91161,Hapag-Lloyd,12.2,3,Particuliers,Basse
Ningbo Zhoushan,102724,Hapag-Lloyd,10.2,7,Industriels,Basse
Ningbo Zhoushan,120451,Maersk,11.4,6,Industriels,Haute
Busan,93964,ONE,13.7,7,Industriels,Moyenne
Busan,73610,Hapag-Lloyd,10.7,7,Entreprises Grande Taille,Moyenne
Tianjin,71138,Maersk,9.1,7,Alimentaires,Haute
Rotterdam,95615,ONE,9.3,3,Petites Entreprises,Moyenne
Guangzou,82777,COSCO,10.9,7,Industriels,Moyenne
Hong Kong,74390,Hapag-Lloyd,14.5,6,Alimentaires,Moyenne
Shangai,117710,ONE,10.0,6,Petites Entreprises,Moyenne
Hong Kong,70044,ZIM,9.0,3,Industriels,Basse
Shenzen,81167,Hapag-Lloyd,10.2,6,Petites Entreprises,Moyenne
Busan,80008,COSCO,12.6,7,Particuliers,Moyenne
Ningbo Zhoushan,118051,CMA CGM,11.4,5,Petites Entreprises,Haute
Hong Kong,75717,Maersk,11.7,3,Particuliers,Basse
Singapour,137372,COSCO,14.7,5,Particuliers,Basse
Tianjin,96202,CMA CGM,11.1,4,Alimentaires,Haute
Rotterdam,97258,ONE,14.1,6,Particuliers,Moyenne
Guangzou,102639,COSCO,12.4,6,Petites Entreprises,Haute
Shangai,141569,Evergreen,12.6,3,Particuliers,Haute
Guangzou,91863,COSCO,11.9,6,Alimentaires,Moyenne
Shangai,153010,Hapag-Lloyd,11.0,3,Industriels,Moyenne
Shenzen,79598,Hapag-Lloyd,14.7,6,Industriels,Moyenne
Ningbo Zhoushan,122536,CMA CGM,9.5,5,Industriels,Basse
Qingdao,96792,ONE,14.2,4,Entreprises Grande Taille,Moyenne
Qingdao,90915,Hapag-Lloyd,9.3,3,Alimentaires,Moyenne
Shangai,110862,Hapag-Lloyd,11.1,5,Particuliers,Haute
Singapour,114754,Maersk,13.7,6,Particuliers,Basse
Singapour,133283,Maersk,14.7,7,Petites Entreprises,Haute
Rotterdam,89383,Hapag-Lloyd,13.1,5,Petites Entreprises,Haute
Qingdao,99759,COSCO,9.7,7,Industriels,Moyenne
Ningbo Zhoushan,118289,CMA CGM,13.9,4,Alimentaires,Haute
Busan,72061,COSCO,10.8,5,Petites Entreprises,Moyenne
Ningbo Zhoushan,149004,Yang Ming,12.4,4,Entreprises Grande Taille,Haute
Tianjin,87867,Evergreen,10.6,6,Petites Entreprises,Moyenne
Shenzen,91732,Evergreen,11.8,3,Alimentaires,Haute
Qingdao,96889,ONE,12.8,3,Particuliers,Moyenne
Singapour,110141,Hapag-Lloyd,13.5,5,Petites Entreprises,Basse
Guangzou,101813,CMA CGM,14.1,3,Petites Entreprises,Haute
Shenzen,97970,COSCO,11.2,7,Petites Entreprises,Moyenne
Shenzen,116676,MSC,13.2,4,Particuliers,Moyenne
Ningbo Zhoushan,132588,CMA CGM,14.1,3,Petites Entreprises,Haute
Qingdao,81062,Hapag-Lloyd,11.5,5,Alimentaires,Haute
Ningbo Zhoushan,119832,ZIM,10.6,7,Entreprises Grande Taille,Basse
Ningbo Zhoushan,117194,MSC,10.5,6,Industriels,Haute
Qingdao,81268,Maersk,14.5,7,Petites Entreprises,Haute
Hong Kong,85119,Evergreen,9.6,6,Industriels,Basse
Shangai,131911,ZIM,13.0,5,Alimentaires,Haute
Qingdao,97201,ZIM,9.6,6,Industriels,Moyenne
Hong Kong,79909,ONE,12.3,4,Petites Entreprises,Haute
Hong Kong,89132,Maersk,14.1,4,Industriels,Basse
Busan,71748,Hapag-Lloyd,14.2,7,Petites Entreprises,Moyenne
Guangzou,97580,MSC,12.5,5,Industriels,Basse
Ningbo Zhoushan,118519,Hapag-Lloyd,14.5,7,Entreprises Grande Taille,Moyenne
Tianjin,66282,Evergreen,10.8,5,Particuliers,Haute
Singapour,101537,COSCO,10.2,6,Particuliers,Haute
Tianjin,80048,Evergreen,10.9,4,Industriels,Moyenne
Shenzen,103699,CMA CGM,11.7,4,Particuliers,Moyenne
Shenzen,86087,COSCO,12.7,5,Petites Entreprises,Basse
Qingdao,96699,ZIM,14.7,6,Petites Entreprises,Haute
Qingdao,75740,COSCO,13.6,7,Petites Entreprises,Moyenne
Hong Kong,65617,COSCO,10.0,5,Particuliers,Moyenne
Busan,88325,ZIM,14.7,3,Entreprises Grande Taille,Basse
Shangai,110609,Yang Ming,9.6,6,Entreprises Grande Taille,Moyenne
Singapour,123562,COSCO,9.1,3,Entreprises Grande Taille,Moyenne
Hong Kong,83498,ONE,12.2,6,Industriels,Moyenne
Guangzou,98077,ZIM,14.3,4,Entreprises Grande Taille,Basse
Shangai,149520,MSC,14.6,3,Entreprises Grande Taille,Basse
Rotterdam,121709,Hapag-Lloyd,10.3,4,Alimentaires,Haute
Hong Kong,66219,CMA CGM,11.5,6,Alimentaires,Haute
Ningbo Zhoushan,109323,CMA CGM,13.5,7,Particuliers,Basse
Rotterdam,100132,Evergreen,10.4,6,Alimentaires,Basse
Shenzen,98852,CMA CGM,14.4,5,Entreprises Grande Taille,Moyenne
Guangzou,91993,Hapag-Lloyd,9.8,7,Entreprises Grande Taille,Moyenne
Guangzou,80227,Maersk,14.2,7,Entreprises Grande Taille,Moyenne
Busan,80565,ZIM,11.6,4,Petites Entreprises,Haute
Rotterdam,95782,Yang Ming,10.9,6,Entreprises Grande Taille,Haute
Qingdao,83135,Hapag-Lloyd,12.3,5,Industriels,Basse
Qingdao,89350,MSC,9.5,7,Particuliers,Haute
Ningbo Zhoushan,111484,MSC,14.6,6,Industriels,Basse
Hong Kong,87311,COSCO,13.6,5,Petites Entreprises,Haute
Shenzen,96635,ONE,12.6,3,Petites Entreprises,Haute
Rotterdam,95735,COSCO,13.6,6,Particuliers,Basse
Tianjin,70935,MSC,9.2,4,Particuliers,Haute
Shenzen,99350,Hapag-Lloyd,13.1,4,Petites Entreprises,Moyenne
Shenzen,114323,Hapag-Lloyd,14.0,7,Petites Entreprises,Moyenne
Qingdao,77908,ONE,12.3,4,Petites Entreprises,Moyenne
Rotterdam,98002,ONE,13.3,3,Particuliers,Moyenne
Guangzou,84866,COSCO,13.2,5,Alimentaires,Haute
Guangzou,87564,Evergreen,9.2,7,Alimentaires,Basse
Qingdao,99967,MSC,12.1,6,Alimentaires,Haute
Tianjin,78340,Hapag-Lloyd,13.4,3,Entreprises Grande Taille,Haute
Guangzou,106546,CMA CGM,10.4,5,Particuliers,Moyenne
